word,Macbeth frequency,NewAtlantis frequency,sum of frequencies
seat,2,0,2
loved,2,0,2
haunt,2,0,2
teach,2,0,2
continve,2,0,2
septima,2,0,2
schoole,2,0,2
returne,2,0,2
ingredience,2,0,2
subiect,2,0,2
murtherer,2,0,2
cleere,2,0,2
pitty,2,0,2
teares,2,0,2
drown,2,0,2
pricke,2,0,2
supt,2,0,2
bought,2,0,2
slept,2,0,2
greene,2,0,2
coward,2,0,2
esteeme,2,0,2
cat,2,0,2
babe,2,0,2
braines,2,0,2
sticking,2,0,2
weele,2,0,2
asleepe,2,0,2
invite,2,0,2
gvilt,2,0,2
marked,2,0,2
sleepy,2,0,2
mock,2,0,2
moone,2,0,2
mercifull,2,0,2
cursed,2,0,2
repose,2,0,2
dagger,2,0,2
fooles,2,0,2
blade,2,0,2
wicked,2,0,2
dreames,2,0,2
heccats,2,0,2
wolfe,2,0,2
pace,2,0,2
moves,2,0,2
the[m],2,0,2
afraid,2,0,2
awaked,2,0,2
attempt,2,0,2
sorry,2,0,2
lodged,2,0,2
deeds,2,0,2
sore,2,0,2
chiefe,2,0,2
lifes,2,0,2
sleeping,2,0,2
painted,2,0,2
cleane,2,0,2
couldst,2,0,2
key,2,0,2
plenty,2,0,2
enow,2,0,2
scale,2,0,2
taylor,2,0,2
provokes,2,0,2
tooke,2,0,2
shift,2,0,2
stirring,2,0,2
timely,2,0,2
fellow,2,0,2
destroy,2,0,2
graves,2,0,2
woe,2,0,2
deare,2,0,2
donal,2,0,2
stopt,2,0,2
pillowes,2,0,2
amazed,2,0,2
loyall,2,0,2
tongves,2,0,2
hid,2,0,2
seize,2,0,2
scruples,2,0,2
manly,2,0,2
ireland,2,0,2
safer,2,0,2
mens,2,0,2
smiles,2,0,2
lighted,2,0,2
leave-taking,2,0,2
houres,2,0,2
dreadfull,2,0,2
kisse,2,0,2
upont,2,0,2
ross,2,0,2
soveraignty,2,0,2
cosin,2,0,2
wel,2,0,2
adieu,2,0,2
foes,2,0,2
omnes,2,0,2
upons,2,0,2
royalty,2,0,2
succeeding,2,0,2
ift,2,0,2
eternall,2,0,2
common,2,0,2
enemy,2,0,2
station,2,0,2
manhood,2,0,2
bosomes,2,0,2
sickly,2,0,2
2murth,2,0,2
spight,2,0,2
enemie,2,0,2
advise,2,0,2
require,2,0,2
absence,2,0,2
abide,2,0,2
madame,2,0,2
got,2,0,2
destruction,2,0,2
ioy,2,0,2
fancies,2,0,2
snake,2,0,2
remaines,2,0,2
tooth,2,0,2
gayne,2,0,2
rugged,2,0,2
bat,2,0,2
hums,2,0,2
pittifull,2,0,2
teare,2,0,2
bond,2,0,2
needes,2,0,2
toot,2,0,2
mingle,2,0,2
mirth,2,0,2
measure,2,0,2
sawcy,2,0,2
doubts,2,0,2
venom,2,0,2
sold,2,0,2
sawce,2,0,2
meate,2,0,2
sits,2,0,2
blame,2,0,2
canst,2,0,2
lockes,2,0,2
passion,2,0,2
feed,2,0,2
stuffe,2,0,2
story,2,0,2
folly,2,0,2
weale,2,0,2
push,2,0,2
custome,2,0,2
firme,2,0,2
protest,2,0,2
mee,2,0,2
naturall,2,0,2
cheekes,2,0,2
betimes,2,0,2
season,2,0,2
hec,2,0,2
charmes,2,0,2
harmes,2,0,2
song,2,0,2
sing,2,0,2
&c,2,0,2
strangely,2,0,2
donalbane,2,0,2
greeve,2,0,2
disgrace,2,0,2
youl,2,0,2
caution,2,0,2
t,2,0,2
angell,2,0,2
caldron,2,0,2
charmed,2,0,2
toyle,2,0,2
adde,2,0,2
coole,2,0,2
confound,2,0,2
heads,2,0,2
sicken,2,0,2
apparation,2,0,2
beware,2,0,2
descends,2,0,2
eares,2,0,2
scorne,2,0,2
frets,2,0,2
impress,2,0,2
forrest,2,0,2
byrnan,2,0,2
reigne,2,0,2
deny,2,0,2
curse,2,0,2
sinkes,2,0,2
noise,2,0,2
glasse,2,0,2
seare,2,0,2
haire,2,0,2
infected,2,0,2
firstlings,2,0,2
edge,2,0,2
fly,2,0,2
longer,2,0,2
wilt,2,0,2
wit,2,0,2
swearers,2,0,2
beate,2,0,2
weepe,2,0,2
hes,2,0,2
syllable,2,0,2
perchance,2,0,2
lambe,2,0,2
recoyle,2,0,2
tyranny,2,0,2
untimely,2,0,2
avarice,2,0,2
severall,2,0,2
poure,2,0,2
govern,2,0,2
fare,2,0,2
brest,2,0,2
foorth,2,0,2
wretched,2,0,2
dispaire,2,0,2
maine,2,0,2
relate,2,0,2
nere,2,0,2
pull,2,0,2
fiend,2,0,2
swords,2,0,2
forgive,2,0,2
physicke,2,0,2
shee,2,0,2
field,2,0,2
walking,2,0,2
spot,2,0,2
strongly,2,0,2
doot,2,0,2
othat,2,0,2
charged,2,0,2
troubles,2,0,2
menteth,2,0,2
cathnes,2,0,2
malcolm,2,0,2
seywards,2,0,2
fury,2,0,2
march,2,0,2
purge,2,0,2
confirmed,2,0,2
armor,2,0,2
patient,2,0,2
minister,2,0,2
birnane,2,0,2
famine,2,0,2
fighting,2,0,2
multiplying,1,1,2
smiling,1,1,2
whore,1,1,2
carved,1,1,2
thunders,1,1,2
compelled,1,1,2
cannons,1,1,2
bathe,1,1,2
assisted,1,1,2
composition,1,1,2
saint,1,1,2
pilots,1,1,2
imperfect,1,1,2
intelligence,1,1,2
happily,1,1,2
wonders,1,1,2
images,1,1,2
deepest,1,1,2
swelling,1,1,2
dull,1,1,2
gladly,1,1,2
nearest,1,1,2
saluted,1,1,2
access,1,1,2
effect,1,1,2
substances,1,1,2
provided,1,1,2
observed,1,1,2
honored,1,1,2
wherewith,1,1,2
conduct,1,1,2
cherubin,1,1,2
aside,1,1,2
beast,1,1,2
officers,1,1,2
later,1,1,2
lead,1,1,2
powers,1,1,2
consent,1,1,2
vision,1,1,2
creation,1,1,2
foolish,1,1,2
consider,1,1,2
hurt,1,1,2
red,1,1,2
occasion,1,1,2
turning,1,1,2
everlasting,1,1,2
urine,1,1,2
giving,1,1,2
(i,1,1,2
say),1,1,2
confused,1,1,2
temple,1,1,2
blessed,1,1,2
brewed,1,1,2
piece,1,1,2
(a,1,1,2
posterity,1,1,2
request,1,1,2
knit,1,1,2
seven,1,1,2
temper,1,1,2
safety,1,1,2
gift,1,1,2
alike,1,1,2
concluded,1,1,2
apace,1,1,2
humble,1,1,2
dispatched,1,1,2
marble,1,1,2
bound,1,1,2
grown,1,1,2
ceremony,1,1,2
shed,1,1,2
shape,1,1,2
disorder,1,1,2
disposition,1,1,2
do),1,1,2
amends,1,1,2
raise,1,1,2
you),1,1,2
rage,1,1,2
(with,1,1,2
feasts,1,1,2
stone,1,1,2
thirty,1,1,2
digged,1,1,2
tigers,1,1,2
churches,1,1,2
corn,1,1,2
treasure,1,1,2
aright,1,1,2
assurance,1,1,2
satisfied,1,1,2
depart,1,1,2
eight,1,1,2
kindly,1,1,2
acts,1,1,2
titles,1,1,2
net,1,1,2
lime,1,1,2
swear,1,1,2
savage,1,1,2
accounted,1,1,2
desolate,1,1,2
crave,1,1,2
goodness,1,1,2
added,1,1,2
goodly,1,1,2
vice,1,1,2
opened,1,1,2
pure,1,1,2
wives,1,1,2
convey,1,1,2
affection,1,1,2
deeper,1,1,2
bounty,1,1,2
abound,1,1,2
knees,1,1,2
sought,1,1,2
hanging,1,1,2
healing,1,1,2
flowers,1,1,2
ran,1,1,2
time),1,1,2
satisfy,1,1,2
smell,1,1,2
secrets,1,1,2
robe,1,1,2
force,1,1,2
reported,1,1,2
needed,1,1,2
therein,1,1,2
hardly,1,1,2
thereby,1,1,2
discovery,1,1,2
walls,1,1,2
forced,1,1,2
forgot,1,1,2
familiar,1,1,2
army,1,1,2
beaten,1,1,2
tied,1,1,2
arrived,1,1,2
minds,1,1,2
reckon,1,1,2
(where,0,2,2
continued,0,2,2
months,0,2,2
weak,0,2,2
five,0,2,2
north,0,2,2
spare,0,2,2
voices,0,2,2
beseeching,0,2,2
discover,0,2,2
knowing,0,2,2
utterly,0,2,2
islands,0,2,2
appearance,0,2,2
flat,0,2,2
built,0,2,2
straightways,0,2,2
were),0,2,2
warning,0,2,2
signs,0,2,2
drew,0,2,2
delivered,0,2,2
coast,0,2,2
needeth,0,2,2
wings,0,2,2
tongue,0,2,2
tempests,0,2,2
presented,0,2,2
seemed),0,2,2
gown,0,2,2
wide,0,2,2
sleeves,0,2,2
apparel,0,2,2
daintily,0,2,2
locks,0,2,2
hair,0,2,2
sending,0,2,2
yards,0,2,2
softly,0,2,2
mouth,0,2,2
gesture,0,2,2
if,0,2,2
licence,0,2,2
notary,0,2,2
aloud,0,2,2
my,0,2,2
warned,0,2,2
hoped,0,2,2
sickness,0,2,2
color,0,2,2
scarlet,0,2,2
jesus,0,2,2
(so,0,2,2
accommodated,0,2,2
sufficient,0,2,2
convenient,0,2,2
gathered,0,2,2
civil,0,2,2
fashion,0,2,2
passed,0,2,2
brick,0,2,2
handsome,0,2,2
windows,0,2,2
parlour,0,2,2
what,0,2,2
fifty,0,2,2
nineteen,0,2,2
lodge,0,2,2
fifteen,0,2,2
gallery,0,2,2
cells,0,2,2
instituted,0,2,2
lifting,0,2,2
requireth,0,2,2
to-morrow,0,2,2
removing,0,2,2
,0,2,2
soon,0,2,2
clear,0,2,2
pleasing,0,2,2
(they,0,2,2
pills,0,2,2
standeth,0,2,2
christian,0,2,2
commandment,0,2,2
(though,0,2,2
manners,0,2,2
souls,0,2,2
joyfully,0,2,2
joy,0,2,2
looking,0,2,2
occasions,0,2,2
self,0,2,2
stranger,0,2,2
half),0,2,2
awhile,0,2,2
wanted,0,2,2
salvation,0,2,2
fail,0,2,2
tongues,0,2,2
tears,0,2,2
appear,0,2,2
daily,0,2,2
visit,0,2,2
sort,0,2,2
situation,0,2,2
admission,0,2,2
assuredly,0,2,2
vast,0,2,2
earth),0,2,2
apostle,0,2,2
sheweth,0,2,2
marvellous,0,2,2
college,0,2,2
miracles,0,2,2
illusions,0,2,2
acknowledge,0,2,2
testify,0,2,2
prosper,0,2,2
caused,0,2,2
silence,0,2,2
fore-end,0,2,2
palm,0,2,2
contained,0,2,2
testament,0,2,2
nevertheless,0,2,2
appeareth,0,2,2
original,0,2,2
persians,0,2,2
miraculous,0,2,2
paused,0,2,2
agreeable,0,2,2
fearful,0,2,2
formerly,0,2,2
discoveries,0,2,2
commonly,0,2,2
degree,0,2,2
indies,0,2,2
marvel,0,2,2
lordship,0,2,2
affairs,0,2,2
them,0,2,2
news,0,2,2
reveal,0,2,2
satisfaction,0,2,2
ago,0,2,2
remnant,0,2,2
universal,0,2,2
deluge,0,2,2
america),0,2,2
times),0,2,2
at,0,2,2
stirps,0,2,2
atlantic,0,2,2
mediterrane,0,2,2
borders,0,2,2
streams,0,2,2
rivers,0,2,2
tyrambel,0,2,2
mighty,0,2,2
riches,0,2,2
(or,0,2,2
enemies,0,2,2
(by,0,2,2
arid,0,2,2
bear,0,2,2
but,0,2,2
destroyed,0,2,2
although,0,2,2
generally,0,2,2
woods,0,2,2
perished,0,2,2
necessary,0,2,2
thin,0,2,2
population,0,2,2
america,0,2,2
poor,0,2,2
peopled,0,2,2
noah,0,2,2
extreme,0,2,2
lighter,0,2,2
feathers,0,2,2
infinite,0,2,2
flights,0,2,2
accident,0,2,2
following,0,2,2
intercourse,0,2,2
yield,0,2,2
mariners,0,2,2
mortal,0,2,2
esteem,0,2,2
maintain,0,2,2
soil,0,2,2
commixture,0,2,2
relief,0,2,2
distressed,0,2,2
rose,0,2,2
join,0,2,2
chose,0,2,2
institution,0,2,2
beareth,0,2,2
records,0,2,2
maketh,0,2,2
opinion,0,2,2
them),0,2,2
forbidden,0,2,2
mission,0,2,2
designed,0,2,2
sciences,0,2,2
silks,0,2,2
spices,0,2,2
growth,0,2,2
procure,0,2,2
acquaintance,0,2,2
bosom,0,2,2
mens,0,2,2
bidden,0,2,2
compounded,0,2,2
granted,0,2,2
celebrated,0,2,2
sexes,0,2,2
concerning,0,2,2
courses,0,2,2
marriages,0,2,2
orders,0,2,2
public,0,2,2
seldom,0,2,2
vine,0,2,2
upper,0,2,2
leaf,0,2,2
substance,0,2,2
females,0,2,2
difference,0,2,2
lower,0,2,2
stalk,0,2,2
mantle,0,2,2
directed,0,2,2
propagation,0,2,2
varied,0,2,2
chosen,0,2,2
retireth,0,2,2
guests,0,2,2
comely,0,2,2
adam,0,2,2
abraham,0,2,2
calleth,0,2,2
shoulders,0,2,2
jewel,0,2,2
figure,0,2,2
ear,0,2,2
religion,0,2,2
extremely,0,2,2
virgin,0,2,2
messiah,0,2,2
tradition,0,2,2
customs,0,2,2
families,0,2,2
nuptial,0,2,2
chastity,0,2,2
dissolute,0,2,2
courtesans,0,2,2
unlawful,0,2,2
concupiscence,0,2,2
married,0,2,2
art),0,2,2
appetites,0,2,2
righteousness,0,2,2
contract,0,2,2
feigned,0,2,2
couple,0,2,2
cape,0,2,2
girt,0,2,2
neck,0,2,2
wheels,0,2,2
embroidered,0,2,2
crosier,0,2,2
pastoral,0,2,2
staff,0,2,2
metal,0,2,2
behind,0,2,2
principals,0,2,2
pages,0,2,2
employments,0,2,2
assigned,0,2,2
ordinances,0,2,2
rites,0,2,2
the,0,2,2
caves,0,2,2
cave,0,2,2
beams,0,2,2
metals,0,2,2
compositions,0,2,2
materials,0,2,2
prolongation,0,2,2
hermits,0,2,2
burials,0,2,2
earths,0,2,2
fruitful,0,2,2
towers,0,2,2
rain,0,2,2
hail,0,2,2
fish,0,2,2
wells,0,2,2
baths,0,2,2
brass,0,2,2
minerals,0,2,2
demonstrate,0,2,2
vital,0,2,2
juice,0,2,2
various,0,2,2
orchards,0,2,2
gardens,0,2,2
beauty,0,2,2
trials,0,2,2
contrariwise,0,2,2
serpents,0,2,2
wines,0,2,2
fruits,0,2,2
dried,0,2,2
insomuch,0,2,2
mild,0,2,2
shops,0,2,2
simples,0,2,2
forms,0,2,2
mechanical,0,2,2
demonstrations,0,2,2
rain-bows,0,2,2
gems,0,2,2
lines,0,2,2
deceits,0,2,2
objects,0,2,2
distances,0,2,2
helps,0,2,2
articulate,0,2,2
practices,0,2,2
multiply,0,2,2
ordnance,0,2,2
astronomy,0,2,2
for,0,2,2
collect,0,2,2
liberal,0,2,2
axioms,0,2,2
divinations,0,2,2
labours,0,2,2
lastly,0,2,2
statues,0,2,2
inventors,0,2,2
statue,0,2,2
descriptions,0,2,2
value,0,2,2
publish,0,2,2
tragedy,1,0,1
primus,1,0,1
scoena,1,0,1
raine,1,0,1
hurley-burleys,1,0,1
battailes,1,0,1
wonne,1,0,1
gray-malkin,1,0,1
padock,1,0,1
hover,1,0,1
fogge,1,0,1
malcome,1,0,1
captaine,1,0,1
plight,1,0,1
serieant,1,0,1
hardy,1,0,1
captivity,1,0,1
broyle,1,0,1
swimmers,1,0,1
choake,1,0,1
merciless,1,0,1
macdonwald,1,0,1
villanies,1,0,1
swarme,1,0,1
western,1,0,1
isles,1,0,1
gallowgrosses,1,0,1
supplyed,1,0,1
rebells,1,0,1
(well,1,0,1
name),1,0,1
disdayning,1,0,1
brandisht,1,0,1
smoaked,1,0,1
(like,1,0,1
valours,1,0,1
minion),1,0,1
faced,1,0,1
neur,1,0,1
shooke,1,0,1
unseamed,1,0,1
nave,1,0,1
chops,1,0,1
fixed,1,0,1
gins,1,0,1
reflection,1,0,1
shipwracking,1,0,1
stormes,1,0,1
direfull,1,0,1
swells,1,0,1
skipping,1,0,1
surveying,1,0,1
furbusht,1,0,1
supplyes,1,0,1
assault,1,0,1
dismayed,1,0,1
captaines,1,0,1
banquoh,1,0,1
sparrowes,1,0,1
eagles,1,0,1
hare,1,0,1
over-charged,1,0,1
cracks,1,0,1
doubly,1,0,1
redoubled,1,0,1
foe,1,0,1
meant,1,0,1
reeking,1,0,1
memorize,1,0,1
golgotha,1,0,1
faint,1,0,1
smack,1,0,1
surgeons,1,0,1
haste,1,0,1
camst,1,0,1
fiffe,1,0,1
flowt,1,0,1
skie,1,0,1
fann,1,0,1
disloyall,1,0,1
traytor,1,0,1
conflict,1,0,1
bellonas,1,0,1
bridegroome,1,0,1
lapt,1,0,1
proofe,1,0,1
confronted,1,0,1
selfe-comparisons,1,0,1
curbing,1,0,1
lavish,1,0,1
conclude,1,0,1
victory,1,0,1
happinesse,1,0,1
sweno,1,0,1
norwayes,1,0,1
craves,1,0,1
deigne,1,0,1
buriall,1,0,1
disbursed,1,0,1
colmes,1,0,1
ynch,1,0,1
dollars,1,0,1
interest,1,0,1
wonn,1,0,1
killing,1,0,1
swine,1,0,1
saylors,1,0,1
chestnuts,1,0,1
lappe,1,0,1
quoth,1,0,1
aroynt,1,0,1
witch,1,0,1
rumpe-fed,1,0,1
ronyon,1,0,1
husbands,1,0,1
aleppo,1,0,1
syve,1,0,1
sayle,1,0,1
rat,1,0,1
tayle,1,0,1
thart,1,0,1
ports,1,0,1
quarters,1,0,1
ship-mans,1,0,1
card,1,0,1
dreyne,1,0,1
hay,1,0,1
pent-house,1,0,1
lid,1,0,1
seunights,1,0,1
dwindle,1,0,1
peake,1,0,1
barke,1,0,1
tempest-tost,1,0,1
thumbe,1,0,1
wrackt,1,0,1
homeward,1,0,1
posters,1,0,1
charmes,1,0,1
soris,1,0,1
attyre,1,0,1
aught,1,0,1
choppy,1,0,1
skinny,1,0,1
beards,1,0,1
interprete,1,0,1
outwardly,1,0,1
prediction,1,0,1
wrapt,1,0,1
graine,1,0,1
favors,1,0,1
happyer,1,0,1
speakers,1,0,1
sinells,1,0,1
prosperous,1,0,1
prospect,1,0,1
blasted,1,0,1
prophetique,1,0,1
greeting,1,0,1
bubbles,1,0,1
melted,1,0,1
stayed,1,0,1
insane,1,0,1
prisoner,1,0,1
tune,1,0,1
reades,1,0,1
personall,1,0,1
venture,1,0,1
rebels,1,0,1
silenced,1,0,1
viewing,1,0,1
stout,1,0,1
rankes,1,0,1
afeard,1,0,1
powred,1,0,1
harrold,1,0,1
dress,1,0,1
borrowed,1,0,1
combined,1,0,1
lyne,1,0,1
laboured,1,0,1
countreyes,1,0,1
capitall,1,0,1
proved,1,0,1
overthrown,1,0,1
behinde,1,0,1
enkindle,1,0,1
oftentimes,1,0,1
trifles,1,0,1
betrays,1,0,1
cousins,1,0,1
prologves,1,0,1
theame,1,0,1
supernaturall,1,0,1
solliciting,1,0,1
successe,1,0,1
commencing,1,0,1
suggestion,1,0,1
heire,1,0,1
seated,1,0,1
ribbes,1,0,1
imaginings,1,0,1
shakes,1,0,1
function,1,0,1
smothered,1,0,1
surmise,1,0,1
partners,1,0,1
mould,1,0,1
runs,1,0,1
roughest,1,0,1
favour,1,0,1
registred,1,0,1
chanced,1,0,1
interim,1,0,1
commission,1,0,1
die,1,0,1
frankly,1,0,1
implored,1,0,1
repentance,1,0,1
leaving,1,0,1
studied,1,0,1
careless,1,0,1
trifle,1,0,1
construction,1,0,1
bvilt,1,0,1
worthyest,1,0,1
sinn,1,0,1
ingratitude,1,0,1
swiftest,1,0,1
recompence,1,0,1
overtake,1,0,1
hadst,1,0,1
proportion,1,0,1
payment,1,0,1
loyalty,1,0,1
payes,1,0,1
growing,1,0,1
enfold,1,0,1
harvest,1,0,1
plenteous,1,0,1
ioyes,1,0,1
wanton,1,0,1
fulness,1,0,1
drops,1,0,1
establish,1,0,1
eldest,1,0,1
unaccompanied,1,0,1
invest,1,0,1
signes,1,0,1
nobleness,1,0,1
deservers,1,0,1
envernes,1,0,1
binde,1,0,1
labor,1,0,1
herbenger,1,0,1
step,1,0,1
ore-leape,1,0,1
fires,1,0,1
desires,1,0,1
winke,1,0,1
commendations,1,0,1
fed,1,0,1
peereless,1,0,1
perfectst,1,0,1
burnt,1,0,1
missives,1,0,1
all-hailed,1,0,1
referred,1,0,1
deliver,1,0,1
greatnesse),1,0,1
mightst,1,0,1
dves,1,0,1
reioycing,1,0,1
kindnesse,1,0,1
neerest,1,0,1
illness,1,0,1
wrongly,1,0,1
winne,1,0,1
thouldst,1,0,1
dost,1,0,1
wishest,1,0,1
chastise,1,0,1
impeides,1,0,1
metaphysicall,1,0,1
ayde,1,0,1
tidings,1,0,1
thourt,1,0,1
wert,1,0,1
informed,1,0,1
speed,1,0,1
scarcely,1,0,1
tending,1,0,1
brings,1,0,1
hoarse,1,0,1
croakes,1,0,1
tend,1,0,1
unsex,1,0,1
top-full,1,0,1
direst,1,0,1
remorse,1,0,1
compunctious,1,0,1
visitings,1,0,1
brests,1,0,1
murthring,1,0,1
where-ever,1,0,1
mischiefe,1,0,1
pall,1,0,1
dunnest,1,0,1
smoake,1,0,1
peepe,1,0,1
blanket,1,0,1
all-haile,1,0,1
transported,1,0,1
future,1,0,1
purposes,1,0,1
booke,1,0,1
matters,1,0,1
begvile,1,0,1
undert,1,0,1
solely,1,0,1
masterdome,1,0,1
alter,1,0,1
favor,1,0,1
nimbly,1,0,1
sweetly,1,0,1
recommends,1,0,1
summer,1,0,1
temple-haunting,1,0,1
barlet,1,0,1
approve,1,0,1
mansonry,1,0,1
wooingly,1,0,1
jutty,1,0,1
frieze,1,0,1
buttrice,1,0,1
coigne,1,0,1
pendant,1,0,1
procreant,1,0,1
cradle,1,0,1
delicate,1,0,1
followes,1,0,1
herein,1,0,1
god-eyld,1,0,1
loades,1,0,1
dignities,1,0,1
heaped,1,0,1
ermites,1,0,1
wheres,1,0,1
courst,1,0,1
purveyor,1,0,1
rides,1,0,1
(sharpe,1,0,1
spurre),1,0,1
holp,1,0,1
compt,1,0,1
audit,1,0,1
sewer,1,0,1
dishes,1,0,1
twer,1,0,1
assassination,1,0,1
trammell,1,0,1
surcease,1,0,1
banke,1,0,1
weeld,1,0,1
jumpe,1,0,1
cases,1,0,1
instructions,1,0,1
plagve,1,0,1
inventer,1,0,1
even-handed,1,0,1
commends,1,0,1
poysoned,1,0,1
challice,1,0,1
faculties,1,0,1
meeke,1,0,1
vertves,1,0,1
pleade,1,0,1
trumpet-tongved,1,0,1
damnation,1,0,1
new-borne-babe,1,0,1
striding,1,0,1
blast,1,0,1
horsed,1,0,1
curriors,1,0,1
spurre,1,0,1
intent,1,0,1
vaulting,1,0,1
ore-leapes,1,0,1
falles,1,0,1
proceed,1,0,1
honoured,1,0,1
opinions,1,0,1
worn,1,0,1
glosse,1,0,1
drunke,1,0,1
drest,1,0,1
wakes,1,0,1
freely,1,0,1
esteemst,1,0,1
ornament,1,0,1
letting,1,0,1
addage,1,0,1
enterprize,1,0,1
durst,1,0,1
adhere,1,0,1
fitness,1,0,1
unmake,1,0,1
sucke,1,0,1
milkes,1,0,1
smyling,1,0,1
pluckt,1,0,1
nipple,1,0,1
boneless,1,0,1
gummes,1,0,1
dasht,1,0,1
sworne,1,0,1
screw,1,0,1
fayle,1,0,1
(whereto,1,0,1
iourney,1,0,1
soundly,1,0,1
chamberlaines,1,0,1
wassell,1,0,1
convince,1,0,1
warder,1,0,1
fume,1,0,1
receit,1,0,1
lymbeck,1,0,1
swinish,1,0,1
drenched,1,0,1
ungvarded,1,0,1
spungy,1,0,1
quell,1,0,1
men-children,1,0,1
undaunted,1,0,1
mettle,1,0,1
compose,1,0,1
griefes,1,0,1
clamor,1,0,1
rore,1,0,1
agent,1,0,1
feat,1,0,1
fairest,1,0,1
secundus,1,0,1
taket,1,0,1
husbandry,1,0,1
candles,1,0,1
restraine,1,0,1
unusvall,1,0,1
largess,1,0,1
diamond,1,0,1
greetes,1,0,1
measureless,1,0,1
unprepared,1,0,1
defect,1,0,1
dreamt,1,0,1
entreat,1,0,1
graunt,1,0,1
kindst,1,0,1
lose,1,0,1
seeking,1,0,1
augment,1,0,1
franchised,1,0,1
allegeance,1,0,1
counsailed,1,0,1
mistress,1,0,1
handle,1,0,1
clutch,1,0,1
sensible,1,0,1
feeling,1,0,1
proceeding,1,0,1
heat-oppressed,1,0,1
forme,1,0,1
palpable,1,0,1
marshallst,1,0,1
dudgeon,1,0,1
gouts,1,0,1
informes,1,0,1
abuse,1,0,1
curtained,1,0,1
witchcraft,1,0,1
celebrates,1,0,1
offrings,1,0,1
alarumed,1,0,1
centinell,1,0,1
howles,1,0,1
stealthy,1,0,1
tarquins,1,0,1
ravishing,1,0,1
designe,1,0,1
sowre,1,0,1
firme-set,1,0,1
steps,1,0,1
prate,1,0,1
where-about,1,0,1
sutes,1,0,1
threat,1,0,1
deedes,1,0,1
invites,1,0,1
drunk,1,0,1
quenched,1,0,1
shrieked,1,0,1
bell-man,1,0,1
sternst,1,0,1
good-night,1,0,1
doores,1,0,1
surfeted,1,0,1
snores,1,0,1
drugged,1,0,1
possets,1,0,1
alack,1,0,1
confounds,1,0,1
layed,1,0,1
resembled,1,0,1
schreame,1,0,1
crickets,1,0,1
ins,1,0,1
addrest,1,0,1
hangmans,1,0,1
listning,1,0,1
deepely,1,0,1
stuck,1,0,1
voyce,1,0,1
knits,1,0,1
raveled,1,0,1
sleeve,1,0,1
labors,1,0,1
balme,1,0,1
nourisher,1,0,1
unbend,1,0,1
braine-sickly,1,0,1
witness,1,0,1
smeare,1,0,1
infirme,1,0,1
pictures,1,0,1
childhood,1,0,1
gvild,1,0,1
appalls,1,0,1
hah,1,0,1
pluck,1,0,1
neptunes,1,0,1
ocean,1,0,1
multitudinous,1,0,1
incarnardine,1,0,1
retyre,1,0,1
cleares,1,0,1
constancie,1,0,1
unattended,1,0,1
watchers,1,0,1
poorely,1,0,1
indeede,1,0,1
belzebub,1,0,1
farmer,1,0,1
napkins,1,0,1
youle,1,0,1
sweat,1,0,1
devils,1,0,1
sweare,1,0,1
scales,1,0,1
eyther,1,0,1
committed,1,0,1
sake,1,0,1
equivocate,1,0,1
faith,1,0,1
stealing,1,0,1
french,1,0,1
hose,1,0,1
rost,1,0,1
goose,1,0,1
devill-porter,1,0,1
professions,1,0,1
primrose,1,0,1
bonfire,1,0,1
carowsing,1,0,1
cock,1,0,1
provoker,1,0,1
provoke,1,0,1
nose-painting,1,0,1
lechery,1,0,1
unprovokes,1,0,1
performance,1,0,1
lecherie,1,0,1
marres,1,0,1
sets,1,0,1
perswades,1,0,1
dis-heartens,1,0,1
conclusion,1,0,1
equivocates,1,0,1
ithe,1,0,1
requited,1,0,1
thinke),1,0,1
legges,1,0,1
slipt,1,0,1
physicks,1,0,1
paine,1,0,1
limitted,1,0,1
appoint,1,0,1
unruly,1,0,1
chimneys,1,0,1
lamentings,1,0,1
schreemes,1,0,1
prophecying,1,0,1
accents,1,0,1
dyre,1,0,1
combustion,1,0,1
events,1,0,1
hatched,1,0,1
wofull,1,0,1
obscure,1,0,1
clamored,1,0,1
live-long,1,0,1
fevorous,1,0,1
twas,1,0,1
rough,1,0,1
paralell,1,0,1
conceive,1,0,1
master-peece,1,0,1
sacrilegious,1,0,1
ope,1,0,1
anoynted,1,0,1
