word,Macbeth frequency,NewAtlantis frequency,sum of frequencies
flexible),0,1,1
foremost,0,1,1
hebrew,0,1,1
greek,0,1,1
latin,0,1,1
school,0,1,1
sixteen,0,1,1
meanwhile,0,1,1
help,0,1,1
repairs,0,1,1
belongeth,0,1,1
signed,0,1,1
stamp,0,1,1
cherubim,0,1,1
spread,0,1,1
downwards,0,1,1
consulting,0,1,1
hereupon,0,1,1
perplexed,0,1,1
denial,0,1,1
landing,0,1,1
hasty,0,1,1
rejoicing,0,1,1
presage,0,1,1
calms,0,1,1
contrary,0,1,1
adding,0,1,1
pleased,0,1,1
deal,0,1,1
supply,0,1,1
chargeable,0,1,1
crimson,0,1,1
tools,0,1,1
hours,0,1,1
chamolet,0,1,1
azure,0,1,1
glossy,0,1,1
huge,0,1,1
turkish,0,1,1
turbans,0,1,1
brims,0,1,1
followed,0,1,1
flightshot,0,1,1
ship-boat,0,1,1
described,0,1,1
loud,0,1,1
are,0,1,1
christians,0,1,1
were,0,1,1
fearing,0,1,1
subscription,0,1,1
lifted,0,1,1
thank,0,1,1
god),0,1,1
(all,0,1,1
merits,0,1,1
pirates,0,1,1
lawfully,0,1,1
unlawfully,0,1,1
oath,0,1,1
conservator,0,1,1
distance,0,1,1
singular,0,1,1
infectious,0,1,1
orange,0,1,1
orange-tawney,0,1,1
odour,0,1,1
preservative,0,1,1
infection,0,1,1
by,0,1,1
merits,0,1,1
labour,0,1,1
meaning,0,1,1
salary,0,1,1
learned),0,1,1
rewards,0,1,1
early,0,1,1
prevented,0,1,1
for,0,1,1
follow,0,1,1
reward,0,1,1
guide,0,1,1
streets,0,1,1
row,0,1,1
bluer,0,1,1
cambric,0,1,1
oiled,0,1,1
stairs,0,1,1
sick,0,1,1
(sick,0,1,1
whole),0,1,1
seventeen,0,1,1
cheerful,0,1,1
furnished,0,1,1
civilly,0,1,1
dorture,0,1,1
showed,0,1,1
along,0,1,1
window),0,1,1
seventeen,0,1,1
neat,0,1,1
partitions,0,1,1
(many,0,1,1
),0,1,1
infirmary,0,1,1
waxed,0,1,1
removed,0,1,1
cell,0,1,1
command),0,1,1
ship),0,1,1
doors,0,1,1
restrained,0,1,1
ease,0,1,1
abroad,0,1,1
manifested,0,1,1
smiled,0,1,1
viands,0,1,1
treat,0,1,1
collegiate,0,1,1
diet,0,1,1
wholesome,0,1,1
grape,0,1,1
grain,0,1,1
ale,0,1,1
cider,0,1,1
refreshing,0,1,1
oranges,0,1,1
assured,0,1,1
box,0,1,1
gray,0,1,1
whitish,0,1,1
wished,0,1,1
hasten,0,1,1
recovery,0,1,1
carriage,0,1,1
goods,0,1,1
assembled,0,1,1
jonas,0,1,1
whales,0,1,1
belly,0,1,1
deliverance,0,1,1
reform,0,1,1
piety,0,1,1
unworthiness,0,1,1
courtesy),0,1,1
cloistered,0,1,1
conditions,0,1,1
banish,0,1,1
attendance,0,1,1
weal,0,1,1
behave,0,1,1
people,0,1,1
admonition,0,1,1
soberly,0,1,1
civilly,0,1,1
offence,0,1,1
expired,0,1,1
amendment,0,1,1
pool,0,1,1
mended,0,1,1
lowly,0,1,1
submissive,0,1,1
sentence,0,1,1
staid,0,1,1
avoided,0,1,1
vocation,0,1,1
chiefly,0,1,1
christians,0,1,1
unwilling,0,1,1
license,0,1,1
weeks,0,1,1
precise,0,1,1
obtain,0,1,1
aforehand,0,1,1
revenue,0,1,1
thirty-seven,0,1,1
defray,0,1,1
karan,0,1,1
from,0,1,1
especial,0,1,1
leave,0,1,1
admiring,0,1,1
parent-like,0,1,1
usage,0,1,1
express,0,1,1
offers,0,1,1
picture,0,1,1
jaws,0,1,1
consolations,0,1,1
obey,0,1,1
impossible,0,1,1
enflamed,0,1,1
tread,0,1,1
ground,0,1,1
roofs,0,1,1
mouths,0,1,1
prayers,0,1,1
besought,0,1,1
accept,0,1,1
bounden,0,1,1
presenting,0,1,1
priests,0,1,1
brotherly,0,1,1
bodies,0,1,1
tenderness,0,1,1
kindness,0,1,1
prevent,0,1,1
comforts,0,1,1
expected,0,1,1
salutations,0,1,1
familiarly,0,1,1
us,0,1,1
meaner,0,1,1
abroad),0,1,1
bensalem,0,1,1
language),0,1,1
have,0,1,1
solitary,0,1,1
travellers,0,1,1
habitable,0,1,1
fittest,0,1,1
entertainment,0,1,1
you,0,1,1
conceived,0,1,1
worldly,0,1,1
all,0,1,1
(we,0,1,1
since,0,1,1
christians),0,1,1
divided,0,1,1
converted,0,1,1
faith,0,1,1
contentment,0,1,1
asking,0,1,1
seek,0,1,1
briefly,0,1,1
about,0,1,1
ascension,0,1,1
renfusa,0,1,1
eastern,0,1,1
island),0,1,1
cloudy,0,1,1
calm),0,1,1
column,0,1,1
cylinder,0,1,1
rising,0,1,1
resplendent,0,1,1
spectacle,0,1,1
sands,0,1,1
(about),0,1,1
sixty,0,1,1
theatre,0,1,1
beholding,0,1,1
brethren),0,1,1
attentively,0,1,1
devoutly,0,1,1
viewed,0,1,1
contemplated,0,1,1
raised,0,1,1
`lord,0,1,1
vouchsafed,0,1,1
appertaineth,0,1,1
men),0,1,1
forasmuch,0,1,1
workest,0,1,1
exceedest,0,1,1
cause),0,1,1
beseech,0,1,1
interpretation,0,1,1
secretly,0,1,1
us,0,1,1
when,0,1,1
prayer,0,1,1
moveable,0,1,1
unbound,0,1,1
rowed,0,1,1
brake,0,1,1
firmament,0,1,1
stars,0,1,1
chest,0,1,1
wet,0,1,1
swam,0,1,1
grew,0,1,1
branch,0,1,1
wrapped,0,1,1
sindons,0,1,1
canonical,0,1,1
receive),0,1,1
apocalypse,0,1,1
`i,0,1,1
bartholomew,0,1,1
angel,0,1,1
commit,0,1,1
floods,0,1,1
good-will,0,1,1
jesus,0,1,1
writings,0,1,1
conform,0,1,1
apostles,0,1,1
indians,0,1,1
natives,0,1,1
infidelity,0,1,1
remainder,0,1,1
water),0,1,1
apostolical,0,1,1
evangelism,0,1,1
bartholomew,0,1,1
immediately,0,1,1
excused,0,1,1
abruptly,0,1,1
agreeable,0,1,1
dangers,0,1,1
fears,0,1,1
life,0,1,1
well,0,1,1
part,0,1,1
lest,0,1,1
presume,0,1,1
encouraged,0,1,1
vowed,0,1,1
professed,0,1,1
servants),0,1,1
hardiness,0,1,1
propound,0,1,1
rejected,0,1,1
considering,0,1,1
(notwithstanding,0,1,1
navigations,0,1,1
age),0,1,1
inkling,0,1,1
glimpse,0,1,1
inter-knowledge,0,1,1
stayeth,0,1,1
suffice,0,1,1
mutual,0,1,1
arrive,0,1,1
rested,0,1,1
conclave,0,1,1
lie,0,1,1
conditioner,0,1,1
propriety,0,1,1
beings,0,1,1
unseen,0,1,1
imported,0,1,1
magicians,0,1,1
countries,0,1,1
humbleness,0,1,1
merrily,0,1,1
apt,0,1,1
supernatural,0,1,1
angelical,0,1,1
magical,0,1,1
doubtful,0,1,1
conceit,0,1,1
remembered,0,1,1
strangers,0,1,1
reserve,0,1,1
lawful,0,1,1
perhaps,0,1,1
credible),0,1,1
(especially,0,1,1
voyages),0,1,1
increased,0,1,1
six-score,0,1,1
example,0,1,1
confidence,0,1,1
adventure,0,1,1
phoenicians,0,1,1
tyrians,0,1,1
fleets,0,1,1
carthaginians,0,1,1
colony,0,1,1
egypt,0,1,1
palestine,0,1,1
junks,0,1,1
canoes,0,1,1
abounded,0,1,1
tall,0,1,1
registers,0,1,1
sparing,0,1,1
frequented,0,1,1
pass),0,1,1
sailors,0,1,1
chaldeans,0,1,1
arabians,0,1,1
fame,0,1,1
resorted,0,1,1
tribes,0,1,1
straits,0,1,1
pillars,0,1,1
hercules,0,1,1
paguin,0,1,1
cambaline),0,1,1
quinzy,0,1,1
oriental,0,1,1
tartary,0,1,1
narration,0,1,1
description,0,1,1
neptune,0,1,1
planted,0,1,1
magnificent,0,1,1
palace,0,1,1
manifold,0,1,1
navigable,0,1,1
chains,0,1,1
environed,0,1,1
site,0,1,1
temple),0,1,1
ascent,0,1,1
climb,0,1,1
scala,0,1,1
coeli,0,1,1
poetical,0,1,1
fabulous,0,1,1
mexico,0,1,1
kingdoms,0,1,1
years),0,1,1
expeditions,0,1,1
author,0,1,1
egyptian,0,1,1
cited,0,1,1
athenians,0,1,1
repulse,0,1,1
resistance,0,1,1
forces,0,1,1
clemency,0,1,1
altabin),0,1,1
warrior,0,1,1
handled,0,1,1
land-forces,0,1,1
entoiled,0,1,1
navy,0,1,1
tamp,0,1,1
render,0,1,1
striking,0,1,1
stroke,0,1,1
contenting,0,1,1
dismissed,0,1,1
overtook,0,1,1
enterprises,0,1,1
earthquake,0,1,1
tract,0,1,1
earthquakes),0,1,1
particular,0,1,1
pour,0,1,1
wild,0,1,1
escaped,0,1,1
buildings,0,1,1
shallow,0,1,1
continuance,0,1,1
vale,0,1,1
drowned,0,1,1
food,0,1,1
so,0,1,1
rudeness,0,1,1
ignorance,0,1,1
younger,0,1,1
flood,0,1,1
seed,0,1,1
slowly,0,1,1
simple,0,1,1
(not,0,1,1
chief,0,1,1
civility,0,1,1
mountainous,0,1,1
habitations,0,1,1
regions),0,1,1
clothe,0,1,1
skins,0,1,1
bears,0,1,1
hairy,0,1,1
goats,0,1,1
valley,0,1,1
intolerable,0,1,1
continueth,0,1,1
ancestors,0,1,1
invited,0,1,1
grounds,0,1,1
main,0,1,1
traffic,0,1,1
americans,0,1,1
commerce,0,1,1
as,0,1,1
manifest,0,1,1
(whether,0,1,1
wars,0,1,1
revolution,0,1,1
decay,0,1,1
specially,0,1,1
galleys,0,1,1
brook,0,1,1
ocean),0,1,1
omitted,0,1,1
ceased,0,1,1
cessation,0,1,1
(if,0,1,1
truly),0,1,1
appertain,0,1,1
reigned,0,1,1
adore,0,1,1
superstitiously,0,1,1
solamona,0,1,1
inscrutable,0,1,1
wholly,0,1,1
consideration,0,1,1
substantive,0,1,1
all),0,1,1
foreigner,0,1,1
circuit,0,1,1
fertility,0,1,1
plentifully,0,1,1
fishing,0,1,1
transportations,0,1,1
recalling,0,1,1
flourishing,0,1,1
altered,0,1,1
heroical,0,1,1
intentions,0,1,1
foresight,0,1,1
reach),0,1,1
perpetuity,0,1,1
established,0,1,1
fundamental,0,1,1
interdicts,0,1,1
prohibitions,0,1,1
calamity,0,1,1
frequent,0,1,1
doubting,0,1,1
novelties,0,1,1
preserved,0,1,1
provision,0,1,1
tasted,0,1,1
was),0,1,1
desiring,0,1,1
detain,0,1,1
wills,0,1,1
prohibition,0,1,1
thirteen,0,1,1
bottoms,0,1,1
whatsoever,0,1,1
dream,0,1,1
travelling,0,1,1
henna,0,1,1
restrain,0,1,1
chinese,0,1,1
lawn,0,1,1
keeping,0,1,1
pusillanimity,0,1,1
fear,0,1,1
restraint,0,1,1
exception,0,1,1
preserving,0,1,1
communicating,0,1,1
avoiding,0,1,1
digress,0,1,1
pertinent,0,1,1
friends),0,1,1
pre-eminence,0,1,1
erection,0,1,1
noblest,0,1,1
think),0,1,1
lanthorn,0,1,1
dedicated,0,1,1
study,0,1,1
founders,0,1,1
corrupted,0,1,1
solamonas,0,1,1
denominate,0,1,1
famous,0,1,1
namely,0,1,1
history,0,1,1
wrote,0,1,1
libanus,0,1,1
moss,0,1,1
groweth,0,1,1
symbolize,0,1,1
induced,0,1,1
created,0,1,1
instituting,0,1,1
(whereby,0,1,1
workmanship,0,1,1
inert,0,1,1
ordinance,0,1,1
errand,0,1,1
manufactures,0,1,1
landed,0,1,1
fraught,0,1,1
quantity,0,1,1
buying,0,1,1
rewarding,0,1,1
rendezvous,0,1,1
missions,0,1,1
circumstances,0,1,1
practique,0,1,1
jewels,0,1,1
commodity,0,1,1
creature,0,1,1
world,0,1,1
astonished,0,1,1
probably,0,1,1
perceiving,0,1,1
courtesy,0,1,1
fortunes,0,1,1
bade,0,1,1
scant,0,1,1
ourselves,0,1,1
kiss,0,1,1
skirt,0,1,1
ado,0,1,1
refrained,0,1,1
agree,0,1,1
utter,0,1,1
perdition,0,1,1
adjacent,0,1,1
tedder,0,1,1
obtaining,0,1,1
meanest,0,1,1
quality,0,1,1
freedom,0,1,1
continually,0,1,1
observation,0,1,1
mirror,0,1,1
shewing,0,1,1
cost,0,1,1
liketh,0,1,1
summoned,0,1,1
consultation,0,1,1
discord,0,1,1
suits,0,1,1
appeased,0,1,1
decayed,0,1,1
competent,0,1,1
reproved,0,1,1
censured,0,1,1
advices,0,1,1
assisteth,0,1,1
authority,0,1,1
decrees,0,1,1
disobeyed,0,1,1
carpet,0,1,1
oval,0,1,1
whiter,0,1,1
asp,0,1,1
winter,0,1,1
curiously,0,1,1
colors,0,1,1
broiding,0,1,1
binding,0,1,1
veiled,0,1,1
sprig,0,1,1
traverse,0,1,1
loft,0,1,1
privy,0,1,1
door,0,1,1
window,0,1,1
leaded,0,1,1
sex,0,1,1
always,0,1,1
taratan,0,1,1
herald),0,1,1
lads,0,1,1
carrieth,0,1,1
mantles,0,1,1
sea-water,0,1,1
heralds,0,1,1
streamed,0,1,1
train,0,1,1
curtesies,0,1,1
inclinations,0,1,1
containing,0,1,1
gifts,0,1,1
revenew,0,1,1
privileges,0,1,1
exemptions,0,1,1
styled,0,1,1
beloved,0,1,1
creditor,0,1,1
debtor,0,1,1
subjects,0,1,1
seal,0,1,1
imbossed,0,1,1
moulded,0,1,1
charters,0,1,1
expedited,0,1,1
discretion,0,1,1
readeth,0,1,1
supported,0,1,1
chooseth,0,1,1
mounteth,0,1,1
acclamation,0,1,1
child,0,1,1
purple,0,1,1
greenish,0,1,1
crescent,0,1,1
ensign,0,1,1
goeth,0,1,1
endeth,0,1,1
soever,0,1,1
hap,0,1,1
male,0,1,1
perform,0,1,1
knee,0,1,1
leaning,0,1,1
lasteth,0,1,1
hymn,0,1,1
sung,0,1,1
composeth,0,1,1
posy),0,1,1
(always),0,1,1
praises,0,1,1
concluding,0,1,1
thanksgiving,0,1,1
nativity,0,1,1
birth,0,1,1
births,0,1,1
withdrawn,0,1,1
pleaseth,0,1,1
inverted,0,1,1
removed),0,1,1
kneeleth,0,1,1
layeth,0,1,1
giveth,0,1,1
daughter,0,1,1
bensalem),0,1,1
speaketh,0,1,1
dove,0,1,1
pilgrimage,0,1,1
eminent,0,1,1
merit,0,1,1
two),0,1,1
arm,0,1,1
praise,0,1,1
persevere,0,1,1
wheat,0,1,1
dances,0,1,1
recreations,0,1,1
fallen,0,1,1
merchant,0,1,1
joabin,0,1,1
circumcised,0,1,1
remaining,0,1,1
inbred,0,1,1
rancour,0,1,1
(contrariwise),0,1,1
attributes,0,1,1
ruler,0,1,1
seraphims,0,1,1
guard,0,1,1
milken,0,1,1
eliah,0,1,1
inferior,0,1,1
majesty,0,1,1
commending,0,1,1
believed,0,1,1
nachoran,0,1,1
moses,0,1,1
cabala,0,1,1
hierusalem,0,1,1
jewish,0,1,1
dreams,0,1,1
excellently,0,1,1
discourses,0,1,1
affected,0,1,1
(methought),0,1,1
solemnity,0,1,1
preside,0,1,1
proceedeth,0,1,1
copulation,0,1,1
affected,0,1,1
permission,0,1,1
plurality,0,1,1
experience,0,1,1
partakers,0,1,1
extraordinary,0,1,1
pollution,0,1,1
foulness,0,1,1
european,0,1,1
hermit,0,1,1
fornication,0,1,1
foul,0,1,1
ugly,0,1,1
aethiop,0,1,1
likeness,0,1,1
beautiful,0,1,1
stews,0,1,1
anything,0,1,1
detestation),0,1,1
permit,0,1,1
spar,0,1,1
corrupt,0,1,1
expulsed,0,1,1
libertine,0,1,1
impure,0,1,1
yoked,0,1,1
prime,0,1,1
bargain,0,1,1
alliance,0,1,1
portion,0,1,1
reputation,0,1,1
(almost,0,1,1
indifferent),0,1,1
issue,0,1,1
union,0,1,1
basely,0,1,1
(being,0,1,1
matter),0,1,1
amended,0,1,1
ought,0,1,1
tolerated,0,1,1
necessity,0,1,1
affront,0,1,1
haunting,0,1,1
resort,0,1,1
punished,0,1,1
bachelors,0,1,1
depraved,0,1,1
change,0,1,1
meretricious,0,1,1
embracements,0,1,1
sin,0,1,1
imposition,0,1,1
tax,0,1,1
defend,0,1,1
advoutries,0,1,1
deflowering,0,1,1
virgins,0,1,1
unnatural,0,1,1
preposterous,0,1,1
wisdom,0,1,1
lots,0,1,1
abusing,0,1,1
gained,0,1,1
furnace,0,1,1
flames,0,1,1
quench,0,1,1
anyvent,0,1,1
masculine,0,1,1
inviolate,0,1,1
friendships,0,1,1
before),0,1,1
usual,0,1,1
whosoever,0,1,1
unchaste,0,1,1
chiefest,0,1,1
bridle,0,1,1
vices,0,1,1
decent,0,1,1
widow,0,1,1
sarepta,0,1,1
elias,0,1,1
sins,0,1,1
confess,0,1,1
europe,0,1,1
they,0,1,1
allow,0,1,1
polygamy,0,1,1
intermarry,0,1,1
month,0,1,1
interview,0,1,1
parents,0,1,1
void,0,1,1
mulct,0,1,1
inheritors,0,1,1
admitted,0,1,1
inherit,0,1,1
parents,0,1,1
inheritance,0,1,1
commonwealth,0,1,1
dislike,0,1,1
refusal,0,1,1
defects,0,1,1
womens,0,1,1
town,0,1,1
eves,0,1,1
pools),0,1,1
severally,0,1,1
naked,0,1,1
huke,0,1,1
haste,0,1,1
joyful,0,1,1
seven-night,0,1,1
dozen,0,1,1
entry,0,1,1
glad,0,1,1
stature,0,1,1
aspect,0,1,1
pitied,0,1,1
garment,0,1,1
girdle,0,1,1
sindon,0,1,1
gloves,0,1,1
curious`,0,1,1
peach-coloured,0,1,1
helmet,0,1,1
montera,0,1,1
curled,0,1,1
decently,0,1,1
brown,0,1,1
litter-wise,0,1,1
trapped,0,1,1
footmen,0,1,1
attire,0,1,1
crystal,0,1,1
panels,0,1,1
sapphires,0,1,1
hinder-end,0,1,1
emeralds,0,1,1
radiant,0,1,1
cherub,0,1,1
displayed,0,1,1
covered,0,1,1
tissued,0,1,1
coats,0,1,1
mid,0,1,1
leg,0,1,1
stockings,0,1,1
hats,0,1,1
plumes,0,1,1
hat-bands,0,1,1
bare-headed,0,1,1
sheep-hook,0,1,1
balm-wood,0,1,1
horsemen,0,1,1
tumult,0,1,1
companies,0,1,1
cushions,0,1,1
plush,0,1,1
carpets,0,1,1
persian,0,1,1
finer,0,1,1
street,0,1,1
wonderfully,0,1,1
battle-array,0,1,1
crowded,0,1,1
entertaining,0,1,1
person,0,1,1
admit,0,1,1
meaneth,0,1,1
forenoon,0,1,1
carpeted,0,1,1
finely,0,1,1
attired,0,1,1
instead,0,1,1
fastened,0,1,1
ungloved,0,1,1
posture,0,1,1
stooped,0,1,1
kissed,0,1,1
hem,0,1,1
departed,0,1,1
warned,0,1,1
impart,0,1,1
secondly,0,1,1
thirdly,0,1,1
functions,0,1,1
whereto,0,1,1
fourthly,0,1,1
enlarging,0,1,1
bounds,0,1,1
empire,0,1,1
effecting,0,1,1
depths,0,1,1
sunk,0,1,1
fathom,0,1,1
hills,0,1,1
(some,0,1,1
heavens,0,1,1
coagulations,0,1,1
indurations,0,1,1
refrigerations,0,1,1
conservations,0,1,1
mines,0,1,1
strange),0,1,1
curing,0,1,1
cements,0,1,1
chineses,0,1,1
porcellain,0,1,1
composts,0,1,1
soils,0,1,1
half,0,1,1
height,0,1,1
tower,0,1,1
accounting,0,1,1
heights,0,1,1
situations,0,1,1
insolation,0,1,1
refrigeration,0,1,1
conservation,0,1,1
fiery,0,1,1
dwellings,0,1,1
instruct,0,1,1
lakes,0,1,1
fowl,0,1,1
strain,0,1,1
rocks,0,1,1
bays,0,1,1
required,0,1,1
vapor,0,1,1
cataracts,0,1,1
enforcing,0,1,1
fountains,0,1,1
sources,0,1,1
tincted,0,1,1
upon,0,1,1
vitriol,0,1,1
sulphur,0,1,1
steel,0,1,1
nitre,0,1,1
infusions,0,1,1
quicker,0,1,1
basins,0,1,1
paradise,0,1,1
sovereign,0,1,1
rains,0,1,1
lightnings,0,1,1
frogs,0,1,1
qualify,0,1,1
preservation,0,1,1
restoring,0,1,1
arefaction,0,1,1
confirming,0,1,1
sinewes,0,1,1
berries,0,1,1
vineyards,0,1,1
conclusions,0,1,1
grafting,0,1,1
inoculating,0,1,1
wild-trees,0,1,1
fruit-trees,0,1,1
produceth,0,1,1
earlier,0,1,1
seasons,0,1,1
speedily,0,1,1
medicinal,0,1,1
seeds,0,1,1
parks,0,1,1
enclosures,0,1,1
rareness,0,1,1
dissections,0,1,1
continuing,0,1,1
resuscitating,0,1,1
poisons,0,1,1
chirurgery,0,1,1
physic,0,1,1
taller,0,1,1
dwarf,0,1,1
bearing,0,1,1
generative,0,1,1
differ,0,1,1
activity,0,1,1
commixtures,0,1,1
copulations,0,1,1
different,0,1,1
produced,0,1,1
general,0,1,1
putrefaction,0,1,1
advanced,0,1,1
effect),0,1,1
bests,0,1,1
propagate,0,1,1
beforehand,0,1,1
arise,0,1,1
silk-worms,0,1,1
bees,0,1,1
recounting,0,1,1
brewhouses,0,1,1
bake-houses,0,1,1
kitchens,0,1,1
honey,0,1,1
sugar,0,1,1
manna,0,1,1
decocted,0,1,1
woundings,0,1,1
pulp,0,1,1
canes,0,1,1
fleshes,0,1,1
white-meats,0,1,1
strive,0,1,1
insinuate,0,1,1
biting,0,1,1
sharpness,0,1,1
fretting,0,1,1
ripen,0,1,1
nourishing,0,1,1
andmany,0,1,1
kernels,0,1,1
leavenings,0,1,1
seasonings,0,1,1
nourish,0,1,1
mortified,0,1,1
corrupting,0,1,1
stomach,0,1,1
chylus,0,1,1
enable,0,1,1
sensibly,0,1,1
tough,0,1,1
dispensatories,0,1,1
have),0,1,1
drugs,0,1,1
ingredients,0,1,1
fermentations,0,1,1
exquisite,0,1,1
distillations,0,1,1
separations,0,1,1
percolations,0,1,1
strainers,0,1,1
exact,0,1,1
incorporate,0,1,1
stuffs,0,1,1
papers,0,1,1
tissues,0,1,1
lustre,0,1,1
dies,0,1,1
recited,0,1,1
throughout,0,1,1
flow,0,1,1
furnaces,0,1,1
diversities,0,1,1
diversity,0,1,1
fierce,0,1,1
quick,0,1,1
constant,0,1,1
suns,0,1,1
bodies,0,1,1
inequalities,0,1,1
orbs,0,1,1
progresses,0,1,1
returns,0,1,1
produce,0,1,1
dungs,0,1,1
bellies,0,1,1
maws,0,1,1
bloods,0,1,1
hays,0,1,1
unquenched,0,1,1
generate,0,1,1
insulations,0,1,1
operation,0,1,1
intend,0,1,1
perspective-houses,0,1,1
lights,0,1,1
radiations,0,1,1
uncoloured,0,1,1
transparent,0,1,1
prisms),0,1,1
multiplications,0,1,1
colourations,0,1,1
delusions,0,1,1
figures,0,1,1
magnitudes,0,1,1
shadows,0,1,1
originally,0,1,1
spectacles,0,1,1
perfectly,0,1,1
distinctly,0,1,1
shapes,0,1,1
flaws,0,1,1
halos,0,1,1
circles,0,1,1
reflexions,0,1,1
refractions,0,1,1
multiplications,0,1,1
visual,0,1,1
crystals,0,1,1
vitrificated,0,1,1
fossils,0,1,1
loadstones,0,1,1
prodigious,0,1,1
sound-houses,0,1,1
harmonies,0,1,1
quarter-sounds,0,1,1
slides,0,1,1
bells,0,1,1
extenuate,0,1,1
tremblings,0,1,1
warblings,0,1,1
entire,0,1,1
notes,0,1,1
echoes,0,1,1
reflecting,0,1,1
tossing,0,1,1
louder,0,1,1
shriller,0,1,1
rendering,0,1,1
trunks,0,1,1
pipes,0,1,1
perfume-houses,0,1,1
breathe,0,1,1
outs,0,1,1
imitations,0,1,1
contain,0,1,1
confiture-house,0,1,1
sweet-meats,0,1,1
milks,0,1,1
broths,0,1,1
sallets,0,1,1
engine-houses,0,1,1
swifter,0,1,1
muskets,0,1,1
engine,0,1,1
stronger,0,1,1
exceeding,0,1,1
basilisks,0,1,1
war,0,1,1
gun-powder,0,1,1
wild-fires,0,1,1
burning,0,1,1
unquenchable,0,1,1
fireworks,0,1,1
brooking,0,1,1
swimming-girdles,0,1,1
supporters,0,1,1
clocks,0,1,1
perpetual,0,1,1
equality,0,1,1
fineness,0,1,1
subtilty,0,1,1
mathematical,0,1,1
represented,0,1,1
geometry,0,1,1
exquisitely,0,1,1
feats,0,1,1
juggling,0,1,1
apparitions,0,1,1
fallacies,0,1,1
believe,0,1,1
induce,0,1,1
admiration,0,1,1
disguise,0,1,1
severely,0,1,1
pain,0,1,1
ignominy,0,1,1
fines,0,1,1
affectation,0,1,1
strangeness,0,1,1
these,0,1,1
son),0,1,1
conceal),0,1,1
abstracts,0,1,1
merchants,0,1,1
depredators,0,1,1
mystery-men,0,1,1
pioneers,0,1,1
miners,0,1,1
drawing,0,1,1
compilers,0,1,1
plain,0,1,1
demonstration,0,1,1
virtues,0,1,1
dowry-men,0,1,1
benefactors,0,1,1
then,0,1,1
meetings,0,1,1
consults,0,1,1
collections,0,1,1
direct,0,1,1
penetrating,0,1,1
lamps,0,1,1
execute,0,1,1
inoculators,0,1,1
aphorisms,0,1,1
interpreters,0,1,1
novices,0,1,1
apprentices,0,1,1
succession,0,1,1
employed,0,1,1
consultations,0,1,1
experiences,0,1,1
published,0,1,1
concealing,0,1,1
galleries,0,1,1
samples,0,1,1
columbus,0,1,1
your-,0,1,1
monk,0,1,1
gunpowder,0,1,1
printing,0,1,1
worm,0,1,1
sugars,0,1,1
understanding,0,1,1
err,0,1,1
erect,0,1,1
honourable,0,1,1
touch-stone,0,1,1
iron,0,1,1
hymns,0,1,1
services,0,1,1
imploring,0,1,1
illumination,0,1,1
uses,0,1,1
circuits,0,1,1
visits,0,1,1
cities,0,1,1
profitable,0,1,1
plagues,0,1,1
swarms-of,0,1,1
hurtful,0,1,1
scarcity,0,1,1
earthquakes,0,1,1
inundations,0,1,1
comets,0,1,1
temperature,0,1,1
year,0,1,1
counsel,0,1,1
prevention,0,1,1
kneeled,0,1,1
unknown,0,1,1
ducats,0,1,1
largesses,0,1,1
